"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000001","PUBLISHED","2018","SEAR","BTN","1300 [700–2700]","1300.00000","700.00000","2700.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","BOL","22 000 [20 000–24 000]","22000.00000","20000.00000","24000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","BIH","<500 [<500–<500]","","","",""
"HIV_0000000001","PUBLISHED","2018","AFR","BWA","370 000 [330 000–400 000]","370000.00000","330000.00000","400000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","BRA","900 000 [690 000–1 100 000]","900000.00000","690000.00000","1100000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","BRN","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","EUR","BGR","3500 [3000–4100]","3500.00000","3000.00000","4100.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","BFA","96 000 [78 000–120 000]","96000.00000","78000.00000","120000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","BDI","82 000 [71 000–97 000]","82000.00000","71000.00000","97000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","KHM","73 000 [64 000–84 000]","73000.00000","64000.00000","84000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","CMR","540 000 [470 000–590 000]","540000.00000","470000.00000","590000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","CAN","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AFR","CPV","2400 [2100–2900]","2400.00000","2100.00000","2900.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","CAF","110 000 [90 000–140 000]","110000.00000","90000.00000","140000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","TCD","120 000 [94 000–150 000]","120000.00000","94000.00000","150000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","CHL","71 000 [63 000–78 000]","71000.00000","63000.00000","78000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","CHN","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AMR","COL","160 000 [130 000–180 000]","160000.00000","130000.00000","180000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","COM","<200 [<100–<500]","","","",""
"HIV_0000000001","PUBLISHED","2018","AFR","COG","89 000 [69 000–120 000]","89000.00000","69000.00000","120000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","CRI","15 000 [13 000–17 000]","15000.00000","13000.00000","17000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","CIV","460 000 [360 000–580 000]","460000.00000","360000.00000","580000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","HRV","1600 [1400–1700]","1600.00000","1400.00000","1700.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","CUB","31 000 [24 000–37 000]","31000.00000","24000.00000","37000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","CYP","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","EUR","CZE","4400 [3700–5000]","4400.00000","3700.00000","5000.00000",""
"HIV_0000000001","PUBLISHED","2018","SEAR","PRK","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AFR","COD","450 000 [370 000–530 000]","450000.00000","370000.00000","530000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","DNK","6200 [5600–7000]","6200.00000","5600.00000","7000.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","DJI","8800 [7100–11 000]","8800.00000","7100.00000","11000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","DOM","70 000 [54 000–92 000]","70000.00000","54000.00000","92000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","ECU","44 000 [29 000–71 000]","44000.00000","29000.00000","71000.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","EGY","22 000 [20 000–24 000]","22000.00000","20000.00000","24000.00000",""
